Course CRN Meeting Time,Day,Time,Building,Room,Comments
BIOE 455 - 19104 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2SEO,236,
BIOE 455 - 14168 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2SEO,236,
BIOE 475 - 25626 - 12:30 PM (TR),Fri May 5,8:00 - 10:00 am,2LCA,A004,
BIOE 475 - 25627 - 12:30 PM (TR),Fri May 5,8:00 - 10:00 am,2LCA,A004,
BIOE 476 - 21448 - 2:00 PM (F),Wed May 3,1:00 - 3:00 pm,,,
BIOE 494 - 36991 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2SEO,227,
BIOE 494 - 36990 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2SEO,227,
BIOE 505 - 26858 - 2:00 PM (MWF),Wed May 3,1:00 - 3:00 pm,2SEO,236,
BIOE 515 - 23906 - 3:30 PM (M),Mon May 1,8:00 - 10:00 am,2NMRL,115,
BIOE 518 - 34953 - 4:30 PM (TR),Thu May 4,1:00 - 3:00 pm,,,
BIOE 532 - 39473 - 12:30 PM (TR),Fri May 5,8:00 - 10:00 am,2SEO,236,
BIOE 582 - 30442 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2CSN,W103A ,
BIOE 594 - 29460 - 1:00 PM (T),Tue May 2,1:00 - 3:00 pm,,,
BIOE 594 - 39829 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2ERF,1023,
